Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
378.44604,378.8418,377.15314,377.8043,375.69073,377.64557,376.56885,379.29962,378.6635443838212,378.21796
378.47186,378.89847,377.18643,377.84488,375.70712,377.66113,376.5826,379.32773,378.67675626867145,378.25714
378.47476,378.93185,377.24252,377.8661,375.7048,377.6797,376.59634,379.35583,378.6861008000636,378.28387
378.4745,378.95557,377.30923,377.87778,375.6951,377.7002,376.6101,379.3839,378.7132424446066,378.3073
378.45544,378.99933,377.34152,377.88818,375.73422,377.7215,376.62387,379.41205,378.76558098894157,378.34277
378.46222,379.0288,377.34924,377.89752,375.74908,377.7426,376.63763,379.44016,378.8266972569056,378.36755
378.4659,379.03873,377.35254,377.91635,375.73947,377.76346,376.65143,379.46826,378.86898566203536,378.37943
378.45618,379.03998,377.35895,377.93625,375.72647,377.78394,376.6652,379.49637,378.8775718132508,378.3841
378.44626,379.04947,377.3664,377.95227,375.7277,377.8036,376.67892,379.52444,378.86308270340993,378.39136
378.4355,379.06168,377.3717,377.96643,375.71887,377.82196,376.6927,379.55258,378.85176811896673,378.3992
378.4053,379.0725,377.37454,377.97974,375.71994,377.83884,376.70645,379.5807,378.8625458861062,378.40875
378.37973,379.08972,377.375,377.98853,375.71472,377.85385,376.7202,379.60876,378.8925342507399,378.42224
378.3499,379.0944,377.37567,377.99734,375.7039,377.86694,376.73398,379.6369,378.92364865808884,378.4292
378.34894,379.0849,377.37494,378.00592,375.69092,377.87778,376.7477,379.665,378.9422458453855,378.42773
378.3487,379.08502,377.37378,378.02094,375.6814,377.88666,376.76147,379.69308,378.95189520987117,378.4308
378.35028,379.09082,377.3737,378.03772,375.67532,377.89404,376.77524,379.72122,378.9674217720082,378.4378
378.3348,379.1101,377.37317,378.05435,375.68118,377.90005,376.789,379.7493,378.99765746187626,378.4536
378.33664,379.11636,377.36993,378.06668,375.67374,377.9046,376.8028,379.7774,379.03544461044623,378.4621
378.3339,379.1272,377.36646,378.08167,375.67996,377.9082,376.81653,379.80554,379.06518214940075,378.47314
378.3453,379.1266,377.36322,378.09686,375.6831,377.911,376.8303,379.83362,379.07977213533843,378.47708
378.37366,379.13077,377.3609,378.11517,375.68903,377.91348,376.84406,379.86176,379.0889095729967,378.48334
378.4001,379.13828,377.36502,378.13788,375.69266,377.9161,376.85782,379.88983,379.10960425995245,378.4933
378.42804,379.15482,377.41824,378.16074,375.68994,377.91934,376.87158,379.91794,379.1483816255797,378.51416
378.61502,379.24686,377.5999,378.18326,375.79272,377.92346,376.8853,379.94608,379.19370689900404,378.59314
378.66464,379.31204,377.6922,378.2367,375.83228,377.92978,376.89908,379.97415,379.2271964197277,378.64633
378.68472,379.36212,377.72156,378.27017,375.84964,377.9393,376.91284,380.00226,379.24292824761113,378.68066
378.7,379.3881,377.73682,378.28864,375.84515,377.95178,376.9266,380.03036,379.2551495061995,378.6989
378.7297,379.3948,377.75137,378.30484,375.83203,377.96667,376.94037,380.05847,379.28555493968224,378.7088
378.74164,379.4213,377.76782,378.32678,375.85513,377.9836,376.9541,380.08658,379.34155198504146,378.73376
378.9753,379.4547,377.79214,378.34787,375.86963,378.00204,376.9679,380.1147,379.40671455522295,378.76315
378.9924,379.50473,377.8081,378.41125,375.8835,378.02484,376.98166,380.1428,379.4535027427304,378.80142
378.96396,379.54147,377.81595,378.442,375.87738,378.05078,376.99542,380.1709,379.4670626226036,378.82498
