Actual_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,PROPHET_TiB,MOE_TiB
364.0083896536379,,,,,,,360.5824379684238,
360.84513440541934,,,,,,,360.62025306260574,
358.3892548037691,,,,,,,360.9424301967815,
363.37459585582826,,,,,,,361.2180433185448,
365.3924440150146,,,,,,,361.2459410316266,
372.035994710866,,,,,,,361.0640799087025,
375.0462677087632,,,,,,,360.8226738011677,
375.4828066257763,,,,,,,360.59133995124114,
366.6430547488852,,,,,,,360.3083315103086,
361.62266796128847,,,,,,,359.90697138644026,
