forecast_step,MoE_TB
1296,444.5547
1297,444.59854
1298,444.64047
1299,444.68085
1300,444.7223
1301,444.76614
1302,444.81113
1303,444.85474
1304,444.89584
1305,444.93613
1306,444.9783
1307,445.02338
1308,445.06937
1309,445.11346
1310,445.1546
1311,445.19522
1312,445.23883
1313,445.28647
1314,445.33557
1315,445.38153
1316,445.42197
1317,445.45874
1318,445.4962
1319,445.53735
1320,445.58163
1321,445.62604
1322,445.66846
1323,445.70944
1324,445.75153
1325,445.79608
1326,445.84192
1327,445.8864
1328,445.92847
1329,445.9698
1330,446.0131
1331,446.05945
1332,446.10687
1333,446.15237
1334,446.195
1335,446.23712
1336,446.2825
1337,446.33212
1338,446.3832
1339,446.4313
1340,446.47388
1341,446.51288
1342,446.55267
1343,446.59634
1344,446.64325
1345,446.69043
1346,446.73572
1347,446.7797
1348,446.82486
1349,446.87265
1350,446.9218
1351,446.96967
1352,447.01523
1353,447.06012
1354,447.10712
1355,447.15726
1356,447.20847
1357,447.25784
1358,447.30438
1359,447.35068
1360,447.40002
1361,447.45367
1362,447.50885
1363,447.561
1364,447.60782
1365,447.65103
1366,447.69513
1367,447.74298
1368,447.79398
1369,447.84525
1370,447.8946
1371,447.94266
1372,447.9918
1373,448.04346
1374,448.09634
1375,448.14786
1376,448.19708
1377,448.24554
1378,448.29593
1379,448.3492
1380,448.40347
1381,448.4558
1382,448.5053
1383,448.55423
1384,448.60614
1385,448.66196
1386,448.7191
1387,448.773
1388,448.82178
1389,448.86694
1390,448.91266
1391,448.96188
1392,449.01392
1393,449.06595
1394,449.1161
1395,449.16464
1396,449.21414
1397,449.26587
1398,449.31842
1399,449.36963
1400,449.41843
1401,449.4663
1402,449.51584
1403,449.5679
1404,449.6207
1405,449.67154
1406,449.71954
1407,449.76688
1408,449.81677
1409,449.87036
1410,449.92496
1411,449.97653
1412,450.02283
1413,450.06573
1414,450.10904
1415,450.15546
1416,450.20456
1417,450.2536
1418,450.30066
1419,450.3462
1420,450.39252
1421,450.44092
1422,450.49023
1423,450.5381
1424,450.5836
1425,450.62814
1426,450.67438
1427,450.7231
1428,450.77258
1429,450.82016
1430,450.8648
1431,450.9091
1432,450.95587
1433,451.00623
1434,451.0578
1435,451.1063
1436,451.1499
1437,451.19006
1438,451.23077
1439,451.27466
1440,451.3213
1441,451.36804
1442,451.4129
1443,451.45636
1444,451.5008
1445,451.54736
1446,451.595
1447,451.64142
1448,451.68546
1449,451.72885
1450,451.77405
1451,451.82187
1452,451.87057
1453,451.91742
1454,451.9618
1455,452.00565
1456,452.05225
1457,452.1027
1458,452.15436
1459,452.20328
1460,452.24722
1461,452.28787
1462,452.32913
1463,452.37393
1464,452.42145
1465,452.46927
1466,452.51517
1467,452.55988
1468,452.6056
1469,452.6536
1470,452.7027
1471,452.7506
1472,452.79633
1473,452.8413
1474,452.88815
1475,452.9377
1476,452.98813
1477,453.03683
1478,453.08295
1479,453.12866
1480,453.17697
1481,453.22913
1482,453.2825
1483,453.333
1484,453.3786
1485,453.42087
1486,453.4638
1487,453.51
1488,453.5589
1489,453.608
1490,453.65512
1491,453.701
1492,453.74783
1493,453.79666
1494,453.84662
1495,453.89517
1496,453.9415
1497,453.987
1498,454.03424
1499,454.08392
1500,454.13437
1501,454.183
1502,454.2289
1503,454.2743
1504,454.32224
1505,454.37375
1506,454.4263
1507,454.47604
1508,454.5207
1509,454.562
1510,454.6038
1511,454.64865
1512,454.6962
1513,454.74368
1514,454.7892
1515,454.83334
1516,454.8783
1517,454.9252
1518,454.9731
1519,455.01965
1520,455.06387
1521,455.10712
1522,455.152
1523,455.19943
1524,455.24756
1525,455.29373
1526,455.33716
1527,455.38016
1528,455.42557
1529,455.47467
1530,455.52472
1531,455.57196
1532,455.6141
1533,455.65283
1534,455.69208
1535,455.73453
1536,455.77972
1537,455.82486
1538,455.86804
1539,455.90994
1540,455.95267
1541,455.99744
1542,456.0434
1543,456.08792
1544,456.13016
1545,456.1716
1546,456.21478
1547,456.26056
1548,456.30722
1549,456.35208
1550,456.3941
1551,456.43573
1552,456.48007
1553,456.52817
1554,456.57764
1555,456.6241
1556,456.6655
1557,456.70352
1558,456.74203
1559,456.78406
1560,456.82898
1561,456.87405
1562,456.91714
1563,456.959
1564,457.00186
1565,457.0469
1566,457.09314
1567,457.13812
1568,457.18085
1569,457.22278
1570,457.2666
1571,457.31323
1572,457.36078
1573,457.4065
1574,457.44943
1575,457.49185
1576,457.5373
1577,457.5867
1578,457.63727
1579,457.68494
1580,457.72736
1581,457.7664
1582,457.806
1583,457.84915
1584,457.89523
1585,457.9415
1586,457.98575
1587,458.02866
1588,458.0726
1589,458.1188
1590,458.16614
1591,458.21222
1592,458.25583
1593,458.2987
1594,458.34335
1595,458.3908
1596,458.43924
1597,458.48563
1598,458.5292
1599,458.57224
1600,458.6182
1601,458.66806
1602,458.71915
1603,458.76718
1604,458.8098
1605,458.84885
1606,458.88846
1607,458.9315
1608,458.97754
1609,459.02365
1610,459.0677
1611,459.11023
1612,459.15372
1613,459.19952
1614,459.24628
1615,459.2918
1616,459.33475
1617,459.37674
1618,459.42062
1619,459.4672
1620,459.5148
1621,459.5602
1622,459.60272
1623,459.64453
1624,459.68936
1625,459.73816
1626,459.78818
